"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"FOLR3",1.22593886852607e-13,-2.57565681249369,0.131,0.313,2.85778609642112e-09,"FOLR3","Up in Influenza"
"TXNIP",1.24492538536507e-13,-0.764027732729093,0.775,0.892,2.90204556582452e-09,"TXNIP","Up in Influenza"
"IL10RA",1.38702104377319e-13,-0.547036044765443,0.421,0.581,3.23328475513967e-09,"IL10RA","Up in Influenza"
"NT5C3A",1.39917023955066e-13,2.81484489644739,0.38,0.202,3.26160574541653e-09,"NT5C3A","Up in Severe COVID"
"GNB2",1.5278161090327e-13,-0.54525382235705,0.521,0.711,3.56149213176613e-09,"GNB2","Up in Influenza"
"CDK2AP2",1.64340594698132e-13,-1.2635123380294,0.209,0.411,3.83094360300816e-09,"CDK2AP2","Up in Influenza"
"BST2",1.89798005044111e-13,-0.811634237745987,0.44,0.651,4.42438129558327e-09,"BST2","Up in Influenza"
"GTF2I",2.58489680052508e-13,-0.64040165826158,0.343,0.492,6.02565293170401e-09,"GTF2I","Up in Influenza"
"PTPN6",2.61957992056832e-13,-0.781455405939156,0.443,0.642,6.10650275283682e-09,"PTPN6","Up in Influenza"
"OST4",2.72683737095119e-13,1.51498897832993,0.85,0.811,6.35653059542433e-09,"OST4","Up in Severe COVID"
"MCL1",2.78383334568342e-13,-0.649297126556159,0.576,0.718,6.48939391212262e-09,"MCL1","Up in Influenza"
"DPYD",3.00502992222362e-13,-0.948217612290271,0.221,0.347,7.00502525169549e-09,"DPYD","Up in Influenza"
"NDUFC2",3.07974207926908e-13,-0.597612489722226,0.453,0.631,7.17918676098416e-09,"NDUFC2","Up in Influenza"
"SERPINA1",3.51321484837844e-13,-0.509396092680932,0.364,0.54,8.18965513305498e-09,"SERPINA1","Up in Influenza"
"ANPEP",3.94584899048823e-13,-1.02488354142099,0.174,0.35,9.19816858172711e-09,"ANPEP","Up in Influenza"
"GBP4",3.95461594829122e-13,-1.47189997666808,0.179,0.372,9.21860523706167e-09,"GBP4","Up in Influenza"
"IL32",5.77166886212676e-13,-1.51206195104482,0.25,0.461,1.34543372845037e-08,"IL32","Up in Influenza"
"MT-ND5",6.71323805574928e-13,-0.504237504202371,0.879,0.96,1.56492292317571e-08,"MT-ND5","Up in Influenza"
"PTGER2",7.4752261909206e-13,-1.12684111599725,0.24,0.432,1.7425499773655e-08,"PTGER2","Up in Influenza"
"WARS",7.50089654402278e-13,-1.25357402989132,0.269,0.447,1.74853399337715e-08,"WARS","Up in Influenza"
