"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"SELL",3.75401901459725e-05,0.883652447642731,0.502,0.399,0.875099372492764,"SELL","Up in Severe"
"NCBP2-AS2",3.87160730690266e-05,-0.577489812262115,0.326,0.454,0.90251037931208,"NCBP2-AS2","Up in Healthy"
"RSU1",3.92886790629142e-05,2.00209600157711,0.337,0.251,0.915858397635594,"RSU1","Up in Severe"
"PPP1R15A",3.95327710994672e-05,0.845640511590586,0.562,0.511,0.92154842709968,"PPP1R15A","Up in Severe"
"CYB5R3",4.43956969627962e-05,1.52079033198834,0.306,0.236,1,"CYB5R3","Up in Severe"
"RTN3",4.46312203177958e-05,1.13314386140934,0.395,0.316,1,"RTN3","Up in Severe"
"CD300A",4.47353139570422e-05,-0.628947533851204,0.238,0.326,1,"CD300A","Up in Healthy"
"CDK2AP2",4.6456372838576e-05,-0.576224817640654,0.209,0.295,1,"CDK2AP2","Up in Healthy"
"ZBTB38",4.86088451890127e-05,-0.684777585173387,0.168,0.25,1,"ZBTB38","Up in Healthy"
"GIT2",5.05616463953881e-05,-0.500378657614036,0.241,0.322,1,"GIT2","Up in Healthy"
"CXorf38",5.27743366864092e-05,-0.611255513940181,0.211,0.308,1,"CXorf38","Up in Healthy"
"WHAMM",5.29988795330954e-05,-0.505268423485738,0.244,0.355,1,"WHAMM","Up in Healthy"
"FCGR2A",5.53768462076603e-05,1.35492132300429,0.345,0.247,1,"FCGR2A","Up in Severe"
"SPTAN1",5.59338966663835e-05,-0.843371874182477,0.177,0.272,1,"SPTAN1","Up in Healthy"
"R3HDM4",6.43548638624398e-05,1.22032941083102,0.361,0.291,1,"R3HDM4","Up in Severe"
"PKN1",6.6996574305638e-05,-0.569412974035401,0.4,0.528,1,"PKN1","Up in Healthy"
"RBM4",6.70143142595002e-05,-0.801808787852263,0.22,0.353,1,"RBM4","Up in Healthy"
"GLG1",6.98156955563243e-05,-0.579510634345756,0.309,0.427,1,"GLG1","Up in Healthy"
"CCSER2",7.0859190703265e-05,-0.516994940972729,0.184,0.272,1,"CCSER2","Up in Healthy"
"PLSCR1",7.16625551977095e-05,0.959359515302169,0.336,0.234,1,"PLSCR1","Up in Severe"
"BDP1",7.51906279169538e-05,-0.501163428743517,0.266,0.354,1,"BDP1","Up in Healthy"
"RFC1",7.6167958698199e-05,-0.546887465228693,0.251,0.358,1,"RFC1","Up in Healthy"
"GBP4",8.21081881358766e-05,-0.686280352946114,0.179,0.287,1,"GBP4","Up in Healthy"
"PPHLN1",8.30189939284095e-05,-0.517295362643733,0.307,0.435,1,"PPHLN1","Up in Healthy"
"DNPEP",8.70308989040356e-05,-0.733638567356884,0.176,0.263,1,"DNPEP","Up in Healthy"
"YWHAE",8.71579451027329e-05,1.02369058922862,0.466,0.404,1,"YWHAE","Up in Severe"
