"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"ITM2A",5.20224491334351e-08,-1.06540840325343,0.149,0.297,0.00121269531174951,"ITM2A","Up in Mild"
"PKM",5.25666066890943e-08,0.885087173884946,0.642,0.593,0.00122538016852948,"PKM","Up in Severe"
"SYTL3",5.47089185234066e-08,-0.799084888781208,0.182,0.302,0.00127531959969913,"SYTL3","Up in Mild"
"DNAJB1",5.68146498975399e-08,-1.06762590516493,0.256,0.394,0.00132440630376155,"DNAJB1","Up in Mild"
"ARPC5L",7.02041471078129e-08,-0.543813213139662,0.392,0.506,0.00163652887323023,"ARPC5L","Up in Mild"
"CD81",7.89490006702641e-08,-0.73396705132312,0.479,0.66,0.00184038015462453,"CD81","Up in Mild"
"SKAP1",8.57646910260904e-08,-0.826510310310597,0.186,0.313,0.00199926071250919,"SKAP1","Up in Mild"
"JOSD1",9.7536179705591e-08,-0.617864593350053,0.212,0.321,0.00227366588511703,"JOSD1","Up in Mild"
"SAP30BP",1.04223771087045e-07,-0.516060579072342,0.257,0.348,0.0024295603278101,"SAP30BP","Up in Mild"
"ADGRE5",1.23654120215235e-07,-0.531593740908126,0.463,0.595,0.00288250119633735,"ADGRE5","Up in Mild"
"FAM133B",1.29396534595812e-07,-0.551221912468225,0.529,0.697,0.00301636261796297,"FAM133B","Up in Mild"
"JUN",1.37376724732375e-07,-0.692634061533585,0.504,0.636,0.0032023888302364,"JUN","Up in Mild"
"GNG11",1.42876981098066e-07,1.05414701074166,0.304,0.193,0.00333060530637702,"GNG11","Up in Severe"
"NR3C1",1.54557003390096e-07,-0.539508849848121,0.378,0.488,0.00360287830602654,"NR3C1","Up in Mild"
"MYADM",1.57043974395379e-07,-0.735714410624833,0.414,0.546,0.00366085208713068,"MYADM","Up in Mild"
"EPB41L4A-AS1",1.68891094521675e-07,-0.504967418309948,0.32,0.439,0.00393702030439477,"EPB41L4A-AS1","Up in Mild"
"EIF5A",1.69884647806646e-07,-0.503509407223852,0.586,0.751,0.00396018102502072,"EIF5A","Up in Mild"
"ANKRD44",1.73744398401834e-07,-0.561551526761769,0.375,0.509,0.00405015567114514,"ANKRD44","Up in Mild"
"CALR",1.92521181071461e-07,-0.503263419632699,0.542,0.692,0.00448786125195682,"CALR","Up in Mild"
"GCC2",1.95244663568453e-07,-0.543109311395372,0.407,0.549,0.0045513483524442,"GCC2","Up in Mild"
"BUB3",1.9954941270213e-07,-0.607741039116537,0.281,0.381,0.00465169635949935,"BUB3","Up in Mild"
"DYNLT1",2.01808460086777e-07,-0.516601223975136,0.429,0.565,0.00470435701308286,"DYNLT1","Up in Mild"
"ZNF350",2.47984792551487e-07,-0.661045741959471,0.171,0.252,0.00578077349916771,"ZNF350","Up in Mild"
"GPR65",2.66957990191673e-07,-0.67328994116997,0.242,0.34,0.00622305770935809,"GPR65","Up in Mild"
"HSPA9",2.68001874986382e-07,-0.532340210647179,0.352,0.47,0.00624739170780754,"HSPA9","Up in Mild"
"CHD1",2.72482217984601e-07,-0.567506452060223,0.441,0.577,0.00635183298343904,"CHD1","Up in Mild"
"RASSF1",2.73664794422449e-07,-0.509329779135208,0.228,0.317,0.0063794000227817,"RASSF1","Up in Mild"
"ZC3H12A",2.73990004314224e-07,-0.930699296798169,0.172,0.253,0.00638698099056889,"ZC3H12A","Up in Mild"
"SPN",2.97710037702399e-07,-1.05323796717474,0.197,0.341,0.00693991868888062,"SPN","Up in Mild"
"BZW1",3.27889809583269e-07,-0.528652606611059,0.543,0.684,0.00764343935119558,"BZW1","Up in Mild"
"TALDO1",3.63800010297321e-07,0.804859558759211,0.616,0.517,0.00848054204004084,"TALDO1","Up in Severe"
"FOSL2",4.25684568576101e-07,-0.599122681012243,0.297,0.391,0.0099231329780775,"FOSL2","Up in Mild"
"BTG3",5.37381896896362e-07,-0.682360435153154,0.2,0.305,0.0125269093985511,"BTG3","Up in Mild"
"SLU7",5.56684584047645e-07,-0.618347185911375,0.316,0.439,0.0129768743387347,"SLU7","Up in Mild"
"MARCH2",6.88888244204964e-07,1.51246692795635,0.419,0.32,0.0160586738606619,"MARCH2","Up in Severe"
"TBC1D10C",7.31437583065647e-07,-0.548106488961188,0.284,0.395,0.0170505414988433,"TBC1D10C","Up in Mild"
"CAVIN2",8.05225137568368e-07,0.977561209310955,0.287,0.208,0.0187706031818562,"CAVIN2","Up in Severe"
"PHF1",8.07871645436643e-07,-0.688773163312162,0.199,0.316,0.0188322959267736,"PHF1","Up in Mild"
"CCNH",8.38869997168772e-07,-0.839695471748936,0.244,0.376,0.0195548985040012,"CCNH","Up in Mild"
"RNF125",9.15887285036748e-07,-0.806570348038203,0.217,0.351,0.0213502485014916,"RNF125","Up in Mild"
"FNBP4",9.93040628936732e-07,-0.547350005646638,0.363,0.491,0.0231487701011442,"FNBP4","Up in Mild"
"KANSL1",1.00734116696605e-06,-0.5326775982289,0.371,0.494,0.0234821299431457,"KANSL1","Up in Mild"
"RAB32",1.22737897585464e-06,1.52388478771556,0.405,0.26,0.0286114313061475,"RAB32","Up in Severe"
"CD4",1.32706180677796e-06,-0.9582757462011,0.162,0.269,0.0309351377778009,"CD4","Up in Mild"
"GIMAP7",1.34758716789754e-06,-0.5579611386558,0.271,0.393,0.0314136044708596,"GIMAP7","Up in Mild"
"CORO7",1.55932410815601e-06,-0.680970296054561,0.282,0.385,0.0363494042852247,"CORO7","Up in Mild"
"CNOT6L",1.56631823155933e-06,-0.764374984257829,0.318,0.48,0.0365124442958796,"CNOT6L","Up in Mild"
"ITGA4",1.59044689594161e-06,-1.01386839515729,0.244,0.411,0.0370749075912948,"ITGA4","Up in Mild"
"FAM177A1",1.73698384059158e-06,-0.570014122646401,0.281,0.381,0.0404908303080303,"FAM177A1","Up in Mild"
"STOM",1.78373090800036e-06,1.8075057192451,0.364,0.262,0.0415805511963963,"STOM","Up in Severe"
"SSBP4",1.85518930603575e-06,-0.723248308913346,0.323,0.464,0.0432463179129994,"SSBP4","Up in Mild"
"GSTO1",1.87727986353669e-06,0.963262009067393,0.561,0.475,0.0437612708989038,"GSTO1","Up in Severe"
"MXD4",1.96925653372239e-06,-0.598434789596376,0.332,0.455,0.0459053390576027,"MXD4","Up in Mild"
"AAED1",2.05691258448501e-06,-0.742995863224525,0.173,0.262,0.04794868925693,"AAED1","Up in Mild"
"ZNF292",2.28514965941513e-06,-0.543003301238416,0.349,0.465,0.0532691237106262,"ZNF292","Up in Mild"
"AC245297.3",2.52430183047126e-06,-0.518423701950032,0.335,0.449,0.0588439999701155,"AC245297.3","Up in Mild"
"ARID5A",2.56049137515451e-06,-0.574266187824583,0.318,0.437,0.0596876144462267,"ARID5A","Up in Mild"
"TLN1",3.14401015159579e-06,1.36818794705398,0.627,0.562,0.0732900206438493,"TLN1","Up in Severe"
"IDI1",3.19789677797235e-06,-0.586796225824924,0.356,0.49,0.0745461717913134,"IDI1","Up in Mild"
"HIST1H2AC",3.23245815633153e-06,1.23971321733513,0.317,0.2,0.0753518320822442,"HIST1H2AC","Up in Severe"
"LSM8",3.32423240629073e-06,-0.502317877862674,0.438,0.567,0.0774911816230433,"LSM8","Up in Mild"
"RUFY1",3.87489701129641e-06,1.44655123291297,0.272,0.178,0.0903277242303306,"RUFY1","Up in Severe"
"TCF7",4.01518081955113e-06,-0.968224350030994,0.145,0.26,0.0935978800845563,"TCF7","Up in Mild"
