"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.91655127429357e-09,0.913369015905469,0.761,0.398,4.46767267550574e-05,"0","CD69"
1.93311804875383e-09,1.41909865948211,0.366,0.131,4.50629148345004e-05,"0","GATA3"
2.74666638439137e-09,0.770400445227562,0.634,0.479,6.40275400865472e-05,"0","RNF166"
3.10161628819194e-09,1.1978008942429,0.47,0.224,7.23017772940422e-05,"0","OCIAD2"
4.15144207051777e-09,1.65917511232376,0.372,0.126,9.67742661058396e-05,"0","BCL11B"
4.47815652766683e-09,1.32456541493878,0.555,0.186,0.000104390306816442,"0","MATK"
4.5779357947587e-09,0.930270131699257,0.719,0.488,0.00010671626131162,"0","GYPC"
6.20906371956294e-09,1.12457519411578,0.538,0.329,0.000144739484366732,"0","RNF19A"
7.3230654401752e-09,1.19659218053729,0.483,0.279,0.000170707978475924,"0","GABARAPL1"
7.55922762811096e-09,1.03911443538229,0.648,0.328,0.000176213155238895,"0","ETS1"
9.22188100316581e-09,0.917655302293387,0.758,0.489,0.000214971268064798,"0","C12orf57"
9.5607312777755e-09,0.856029738584218,0.79,0.594,0.000222870206816225,"0","DDX24"
1.10444480735338e-08,1.15593616760413,0.496,0.291,0.000257457129042147,"0","PARP8"
1.28806719392794e-08,1.48346738437569,0.347,0.128,0.000300261343576543,"0","ITK"
1.48932372333085e-08,1.17541111502953,0.432,0.235,0.000347176253145653,"0","PBXIP1"
1.56432024025129e-08,1.54990412474013,0.503,0.23,0.000364658691204978,"0","P2RY8"
1.73120910719166e-08,2.68694824759284,0.255,0.041,0.000403562154977448,"0","A2M-AS1"
1.74223647271857e-08,1.45295861670313,0.519,0.277,0.000406132744155426,"0","CCNH"
1.74797908591504e-08,1.68533183271674,0.326,0.084,0.000407471404717654,"0","LAG3"
1.85028210865681e-08,0.517877789847683,0.791,0.656,0.000431319262348989,"0","ANKRD12"
1.86122388322903e-08,0.929521717982806,0.492,0.343,0.00043386989941952,"0","SYAP1"
1.96676196483541e-08,1.30470403290934,0.556,0.265,0.000458471881622783,"0","TRBC1"
2.37669884855647e-08,1.30296939285842,0.434,0.216,0.000554032268587,"0","CCSER2"
2.60062356746938e-08,1.39541800441479,0.412,0.152,0.000606231359812788,"0","TENT5C"
3.11203779459405e-08,0.637628443390898,0.711,0.555,0.00072544713029782,"0","PCSK7"
3.37931610433576e-08,0.848815440809654,0.503,0.356,0.000787752377081709,"0","CASP8"
4.3425729497787e-08,0.977287595062503,0.59,0.409,0.00101229718032291,"0","HSPE1"
4.53835860818761e-08,0.887497744199939,0.745,0.447,0.00105793677515461,"0","IL2RG"
5.5822937343819e-08,0.807272295379463,0.712,0.522,0.00130128849242176,"0","MED10"
5.99308457285994e-08,1.24169668003325,0.412,0.24,0.00139704794477938,"0","JMJD6"
6.83033148468367e-08,0.959736003836995,0.888,0.589,0.00159221857239461,"0","CD81"
6.8608999948593e-08,1.00882608157977,0.679,0.439,0.00159934439780165,"0","PAXX"
7.31693986562726e-08,1.81176952295279,0.281,0.107,0.00170565185207637,"0","MAF"
7.36930566001627e-08,1.5134260835719,0.324,0.105,0.00171785884240639,"0","MYBL1"
9.54007613323416e-08,0.58785378585218,0.669,0.557,0.00222388714741822,"0","ARHGEF1"
9.90993214035093e-08,0.594240638119671,0.788,0.563,0.0023101042812372,"0","ABHD17A"
1.01362898253914e-07,0.893972615201427,0.56,0.303,0.00236287052119699,"0","RHOH"
1.29148290494714e-07,1.22411571862386,0.472,0.29,0.00301057579972227,"0","GSPT1"
1.41575197474701e-07,1.16826298573762,0.592,0.267,0.00330025942833276,"0","SKAP1"
1.55681712082516e-07,1.89538807253606,0.253,0.076,0.00362909639035554,"0","DUSP8"
1.61463450265669e-07,0.809384778319441,0.588,0.413,0.00376387448914301,"0","MZT2A"
1.78248528129383e-07,0.608269114951978,0.768,0.636,0.00415515143922406,"0","SNRPD2"
1.94504620355326e-07,0.753097820916141,0.585,0.24,0.00453409720510301,"0","KLRD1"
1.95305455515185e-07,0.938509367419237,0.512,0.339,0.00455276547351447,"0","BUB3"
1.99301197527312e-07,0.827061792329724,0.723,0.45,0.00464591021555917,"0","RBM38"
2.00139343736874e-07,0.559607494604307,0.714,0.564,0.00466544824185027,"0","WIPF1"
2.05345786253109e-07,1.34491094359293,0.273,0.122,0.00478681562334623,"0","ATP8A1"
2.12554378201899e-07,1.17718977388168,0.517,0.298,0.00495485511026447,"0","AC016831.5"
3.07786807237801e-07,0.74986311643976,0.671,0.505,0.00717481826352038,"0","TERF2IP"
3.25114722625046e-07,1.46001981781353,0.476,0.235,0.00757874929911245,"0","MRPL10"
3.29674130858181e-07,1.39266242461734,0.496,0.254,0.00768503366443507,"0","CMC1"
